station_name,day_label,fleet_label,n_chargers,metric,fcfs_value,lp_value,delta,pct_change
Xiuzhou_Expressway Service District A,rainy_day,s_star_-4,1,tou_cost_yuan,91.2,91.2,0.0,0.0
Xiuzhou_Expressway Service District A,holiday,s_star_-4,1,mean_wait_min,93.476,347.505,254.029,271.76
Xiuzhou_Expressway Service District A,holiday,s_star_-4,1,p_wait_gt_15min,0.8857,0.9714,0.0857,9.68
Xiuzhou_Expressway Service District A,holiday,s_star_-4,1,mean_utilization,0.584,0.4023,-0.1817,-31.11
Xiuzhou_Expressway Service District A,holiday,s_star_-4,1,tou_cost_yuan,453.04,389.2,-63.84,-14.09
Xiuzhou_Expressway Service District A,weekend,s_star_-4,1,mean_wait_min,0.0,21.877,21.877,0.0
Xiuzhou_Expressway Service District A,weekend,s_star_-4,1,p_wait_gt_15min,0.0,0.6,0.6,0.0
Xiuzhou_Expressway Service District A,weekend,s_star_-4,1,mean_utilization,0.1129,0.1129,0.0,0.0
Xiuzhou_Expressway Service District A,weekend,s_star_-4,1,tou_cost_yuan,114.82,114.82,0.0,0.0
Nanhu_Technology Park,high_demand_summer_weekday,s_star_-2,4,mean_wait_min,0.0,18.553,18.553,0.0
Nanhu_Technology Park,high_demand_summer_weekday,s_star_-2,4,p_wait_gt_15min,0.0,0.5763,0.5763,0.0
Nanhu_Technology Park,high_demand_summer_weekday,s_star_-2,4,mean_utilization,0.5515,0.54,-0.0115,-2.09
Nanhu_Technology Park,high_demand_summer_weekday,s_star_-2,4,tou_cost_yuan,887.46,898.62,11.16,1.26
Nanhu_Technology Park,low_demand_winter_weekday,s_star_-2,4,mean_wait_min,0.0,19.722,19.722,0.0
Nanhu_Technology Park,low_demand_winter_weekday,s_star_-2,4,p_wait_gt_15min,0.0,0.5357,0.5357,0.0
Nanhu_Technology Park,low_demand_winter_weekday,s_star_-2,4,mean_utilization,0.3645,0.3589,-0.0056,-1.54
