station,n_chargers,faults,mean_utilization_mean,mean_utilization_std,mean_utilization_ci95,mean_wait_mean,mean_wait_std,mean_wait_ci95,median_wait_mean,median_wait_std,median_wait_ci95,p95_wait_mean,p95_wait_std,p95_wait_ci95,p_wait_gt_10min_mean,p_wait_gt_10min_std,p_wait_gt_10min_ci95,p_wait_gt_15min_mean,p_wait_gt_15min_std,p_wait_gt_15min_ci95,throughput_per_hour_mean,throughput_per_hour_std,throughput_per_hour_ci95,n_sessions_mean,n_sessions_std,n_sessions_ci95,fault_fraction_mean,fault_fraction_std,fault_fraction_ci95,p_wait_gt_15min_upper95
Xiuzhou_Expressway Service District A,22,off,0.03881442080554292,0.00266161579433866,0.0007452524224148246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,24,off,0.03557988573841435,0.0024398144781437674,0.0006831480538802549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,26,off,0.03284297145084402,0.0022521364413634814,0.0006305982035817747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,28,off,0.03049704491864087,0.0020912695526946637,0.0005855554747545058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,30,off,0.028463908590731477,0.0019518515825150244,0.0005465184431042068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Nanhu_Technology Park,2,off,0.7891349489856166,0.041305199490257904,0.011565455857272212,196.91687117037264,74.30959002659333,20.806685207446133,106.5351076515023,56.81310497764746,15.907669393741289,693.7064245444801,214.52007070919794,60.06561979857542,0.7442373394408652,0.05280246135034211,0.01478468917809579,0.7241193687850465,0.055829373914161595,0.015632224695965247,1.6435000000000002,0.0474743595513917,0.013292820674389675,1183.32,34.18153887700201,9.570830885560563,0.0,0.0,0.0,0.7397515934810117
Nanhu_Technology Park,4,off,0.3948727224038319,0.020191884775013713,0.005653727737003839,6.0099071135704545,2.8416041160998478,0.7956491525079574,0.0,0.0,0.0,38.62082783983561,18.007652101897953,5.042142588531426,0.12101503842931549,0.030930020040003392,0.00866040561120095,0.10121986388882641,0.028644210309640608,0.00802037888669937,1.6435000000000002,0.0474743595513917,0.013292820674389675,1183.32,34.18153887700201,9.570830885560563,0.0,0.0,0.0,0.10924024277552578
Nanhu_Technology Park,6,off,0.2633002504667139,0.013436495744074257,0.003762218808340792,0.30908344082574946,0.2454541407527545,0.06872715941077126,0.0,0.0,0.0,0.0,0.0,0.0,0.010123142950641317,0.00649104828980256,0.0018174935211447167,0.007044959971472038,0.005362924500891504,0.001501618860249621,1.6435000000000002,0.0474743595513917,0.013292820674389675,1183.32,34.18153887700201,9.570830885560563,0.0,0.0,0.0,0.00854657883172166
Nanhu_Technology Park,8,off,0.19747358099609819,0.010077034440492872,0.0028215696433380043,0.018413286720870288,0.03444168671097208,0.009643672279072181,0.0,0.0,0.0,0.0,0.0,0.0,0.0007033977610867718,0.00134359451886996,0.0003762064652835888,0.0004208466919902596,0.000998126445247452,0.0002794754046692866,1.6435000000000002,0.0474743595513917,0.013292820674389675,1183.32,34.18153887700201,9.570830885560563,0.0,0.0,0.0,0.0007003220966595462
Nanhu_Technology Park,10,off,0.15797886479687856,0.008061627552394273,0.0022572557146703963,0.0005702803076301617,0.0023734998467986185,0.0006645799571036132,0.0,0.0,0.0,0.0,0.0,0.0,1.7683465959328027e-05,0.00012378426171529618,3.465959328028293e-05,0.0,0.0,0.0,1.6435000000000002,0.0474743595513917,0.013292820674389675,1183.32,34.18153887700201,9.570830885560563,0.0,0.0,0.0,0.0
