station,n_chargers,activation_mode,faults,replication,mean_utilization,mean_utilization_static,mean_wait,p_wait_gt_15min,active_charger_hours,scheduled_charger_hours,n_sessions,fault_fraction,throughput_per_hour,drain_cap_hit
Xiuzhou_Expressway Service District A,4,full,ON,4,0.26457799027843437,0.26457799027843437,2.782404104137906,0.05396825396825397,2880.0,2880.0,630,0.20476190476190476,0.8736111111111111,False
Xiuzhou_Expressway Service District A,4,full,ON,5,0.23382528119109428,0.23382528119109428,0.6064671523053686,0.014634146341463415,2880.0,2880.0,615,0.16097560975609757,0.8541666666666666,False
Xiuzhou_Expressway Service District A,4,full,ON,6,0.2546133574400714,0.2546133574400714,1.699936442388698,0.044142614601018676,2880.0,2880.0,589,0.17147707979626486,0.8166666666666667,False
Xiuzhou_Expressway Service District A,4,full,ON,7,0.26164693854259574,0.26164693854259574,1.661434111388032,0.045112781954887216,2880.0,2880.0,665,0.17142857142857143,0.9236111111111112,False
Xiuzhou_Expressway Service District A,4,full,ON,8,0.24559475621903482,0.24559475621903482,1.6596769541091982,0.0333889816360601,2880.0,2880.0,599,0.2003338898163606,0.8319444444444445,False
Xiuzhou_Expressway Service District A,4,full,ON,9,0.21382784918122574,0.21382784918122574,1.5274127683694698,0.03745928338762215,2880.0,2880.0,614,0.1742671009771987,0.8513888888888889,False
Xiuzhou_Expressway Service District A,4,full,ON,10,0.2389373626369271,0.2389373626369271,3.7793642143678055,0.06397306397306397,2880.0,2880.0,594,0.14814814814814814,0.825,False
Xiuzhou_Expressway Service District A,4,full,ON,11,0.29228714148914803,0.29228714148914803,2.735339751747986,0.06412213740458016,2880.0,2880.0,655,0.1801526717557252,0.9097222222222222,False
Xiuzhou_Expressway Service District A,4,full,ON,12,0.2548824829349946,0.2548824829349946,3.042134865152128,0.054009819967266774,2880.0,2880.0,611,0.19639934533551553,0.8486111111111111,False
Xiuzhou_Expressway Service District A,4,full,ON,13,0.26206695609515057,0.26206695609515057,2.3093360386909594,0.060126582278481014,2880.0,2880.0,632,0.1550632911392405,0.8777777777777778,False
Xiuzhou_Expressway Service District A,4,full,ON,14,0.2622750642067893,0.2622750642067893,8.06563142601052,0.09276729559748427,2880.0,2880.0,636,0.16981132075471697,0.8819444444444444,False
Xiuzhou_Expressway Service District A,4,full,ON,15,0.254905713021853,0.254905713021853,1.2409703925535747,0.03691275167785235,2880.0,2880.0,596,0.17114093959731544,0.8277777777777777,False
Xiuzhou_Expressway Service District A,4,full,ON,16,0.2256258360465437,0.2256258360465437,0.8611436892096439,0.01694915254237288,2880.0,2880.0,590,0.15423728813559323,0.8194444444444444,False
Xiuzhou_Expressway Service District A,4,full,ON,17,0.2452014474583216,0.2452014474583216,2.5090923941325656,0.033690658499234305,2880.0,2880.0,653,0.17611026033690658,0.9069444444444444,False
Xiuzhou_Expressway Service District A,4,full,ON,18,0.24946690452294878,0.24946690452294878,3.109294434766638,0.050335570469798654,2880.0,2880.0,596,0.18120805369127516,0.8277777777777777,False
Xiuzhou_Expressway Service District A,4,full,ON,19,0.2461649203235532,0.2461649203235532,0.8343059981296274,0.022764227642276424,2880.0,2880.0,615,0.17398373983739837,0.8541666666666666,False
Xiuzhou_Expressway Service District A,4,full,ON,20,0.21888602025111611,0.21888602025111611,0.42935755952672044,0.0144,2880.0,2880.0,625,0.1584,0.8680555555555556,False
Xiuzhou_Expressway Service District A,4,full,ON,21,0.26723483166785045,0.26723483166785045,3.0946690228676377,0.048027444253859346,2880.0,2880.0,583,0.16981132075471697,0.8097222222222222,False
Xiuzhou_Expressway Service District A,4,full,ON,22,0.27009028204883145,0.27009028204883145,1.5363362221018577,0.041979010494752625,2880.0,2880.0,667,0.1469265367316342,0.9263888888888889,False
