station,sizing_scenario,dominant_type,peak_lambda_per_hour,mu_per_min,cv,cv_source,service_param_scope,station_mix_json,mix_coverage,rho_total,s,p_wait_zero_mms,p_wait_mms,p_wait_mgs,mean_wait_mms_min,mean_wait_mgs_min,probability_metric
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,40,1.4189607809154971e-39,1.243787920700101e-43,3.2476135036323846e-42,2.27833179221896e-39,3.500864022647487e-39,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,41,6.079907013465793e-41,4.174240517367238e-45,1.1869841373960653e-43,9.513334564278738e-41,1.461810383598925e-40,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,42,2.5432071761358758e-42,1.367624466853588e-46,4.23529582181446e-45,3.8805112913671515e-42,5.962758548083761e-42,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,43,1.0391287997115274e-43,4.3768240915519766e-48,1.4761327728840617e-46,1.5470923636264797e-43,2.3772481312994314e-43,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,44,4.1494761565970343e-45,1.3689499601595978e-49,5.028093509106363e-48,6.031637045679077e-45,9.268158923560464e-45,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,45,1.6202290208140598e-46,4.1867332949672393e-51,1.6747134592391257e-49,2.3006834126423932e-46,3.535209320402411e-46,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,46,6.189164586223353e-48,1.2526666364869337e-52,5.456952421060259e-51,8.589805763382108e-48,1.3199017834564983e-47,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,47,2.314004937560225e-49,3.668363379533783e-54,1.7403494009414735e-52,3.140569380692585e-49,4.825770501489065e-49,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,48,8.471664363999898e-51,1.0519168179564807e-55,5.434942322110448e-54,1.1249102868162567e-50,1.728526971036807e-50,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,49,3.0383162486480882e-52,2.9549505865247694e-57,1.6626973550639355e-55,3.9490289147502904e-52,6.068042108379307e-52,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,50,1.0679157982117844e-53,8.135024164296728e-59,4.9850701315912946e-57,1.359243240779873e-53,2.088600868374185e-53,p_wait_gt_15min
Xiuzhou_Expressway Service District A,recent_quarter,DC_Fast,3.5164835164835164,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,3.5986226389009235,1,1.0,1.0,1.0,inf,inf,p_wait_gt_15min
Xiuzhou_Expressway Service District A,recent_quarter,DC_Fast,3.5164835164835164,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,3.5986226389009235,2,1.0,1.0,1.0,inf,inf,p_wait_gt_15min
Xiuzhou_Expressway Service District A,recent_quarter,DC_Fast,3.5164835164835164,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,3.5986226389009235,3,1.0,1.0,1.0,inf,inf,p_wait_gt_15min
Xiuzhou_Expressway Service District A,recent_quarter,DC_Fast,3.5164835164835164,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,3.5986226389009235,4,0.7870571001725003,0.7135459494642792,0.7384018098148419,120.40162265442098,185.00804424482686,p_wait_gt_15min
