station,quarter,hour,lambda_mean,n_days
Nanhu_Technology Park,2020Q2,8,1.4175824175824177,91
Nanhu_Technology Park,2020Q2,9,2.8241758241758244,91
Nanhu_Technology Park,2020Q2,10,3.4065934065934065,91
Nanhu_Technology Park,2020Q2,11,3.967032967032967,91
Nanhu_Technology Park,2020Q2,12,3.967032967032967,91
Nanhu_Technology Park,2020Q2,13,4.373626373626373,91
Nanhu_Technology Park,2020Q2,14,4.208791208791209,91
Nanhu_Technology Park,2020Q2,15,4.934065934065934,91
Nanhu_Technology Park,2020Q2,16,4.263736263736264,91
Nanhu_Technology Park,2020Q2,17,2.758241758241758,91
Nanhu_Technology Park,2020Q2,18,2.802197802197802,91
Nanhu_Technology Park,2020Q2,19,3.978021978021978,91
Nanhu_Technology Park,2020Q2,20,3.6263736263736264,91
Nanhu_Technology Park,2020Q2,21,3.6263736263736264,91
Nanhu_Technology Park,2020Q2,22,3.5714285714285716,91
Nanhu_Technology Park,2020Q2,23,3.0549450549450547,91
Nanhu_Technology Park,2020Q3,0,2.402173913043478,92
Nanhu_Technology Park,2020Q3,1,1.6304347826086956,92
Nanhu_Technology Park,2020Q3,2,0.8913043478260869,92
Nanhu_Technology Park,2020Q3,3,0.717391304347826,92
Nanhu_Technology Park,2020Q3,4,0.5760869565217391,92
Nanhu_Technology Park,2020Q3,5,0.8260869565217391,92
Nanhu_Technology Park,2020Q3,6,0.8152173913043478,92
Nanhu_Technology Park,2020Q3,7,0.9347826086956522,92
Nanhu_Technology Park,2020Q3,8,0.7608695652173914,92
Nanhu_Technology Park,2020Q3,9,1.7608695652173914,92
Nanhu_Technology Park,2020Q3,10,2.989130434782609,92
Nanhu_Technology Park,2020Q3,11,3.4456521739130435,92
Nanhu_Technology Park,2020Q3,12,3.619565217391304,92
Nanhu_Technology Park,2020Q3,13,3.4239130434782608,92
Nanhu_Technology Park,2020Q3,14,3.347826086956522,92
Nanhu_Technology Park,2020Q3,15,3.5,92
Nanhu_Technology Park,2020Q3,16,2.9782608695652173,92
Nanhu_Technology Park,2020Q3,17,2.347826086956522,92
Nanhu_Technology Park,2020Q3,18,1.9456521739130435,92
Nanhu_Technology Park,2020Q3,19,2.858695652173913,92
Nanhu_Technology Park,2020Q3,20,2.032608695652174,92
Nanhu_Technology Park,2020Q3,21,3.260869565217391,92
Nanhu_Technology Park,2020Q3,22,3.869565217391304,92
Nanhu_Technology Park,2020Q3,23,3.141304347826087,92
Nanhu_Technology Park,2020Q4,0,1.8478260869565217,92
Nanhu_Technology Park,2020Q4,1,0.9782608695652174,92
Nanhu_Technology Park,2020Q4,2,0.5108695652173914,92
Nanhu_Technology Park,2020Q4,3,0.3695652173913043,92
Nanhu_Technology Park,2020Q4,4,0.2826086956521739,92
Nanhu_Technology Park,2020Q4,5,0.2391304347826087,92
Nanhu_Technology Park,2020Q4,6,0.5108695652173914,92
Nanhu_Technology Park,2020Q4,7,0.8260869565217391,92
Nanhu_Technology Park,2020Q4,8,1.184782608695652,92
Nanhu_Technology Park,2020Q4,9,2.0543478260869565,92
Nanhu_Technology Park,2020Q4,10,2.4565217391304346,92
Nanhu_Technology Park,2020Q4,11,3.4239130434782608,92
Nanhu_Technology Park,2020Q4,12,3.532608695652174,92
Nanhu_Technology Park,2020Q4,13,3.25,92
Nanhu_Technology Park,2020Q4,14,3.2282608695652173,92
Nanhu_Technology Park,2020Q4,15,3.4782608695652173,92
Nanhu_Technology Park,2020Q4,16,2.967391304347826,92
Nanhu_Technology Park,2020Q4,17,2.967391304347826,92
Nanhu_Technology Park,2020Q4,18,2.6847826086956523,92
Nanhu_Technology Park,2020Q4,19,3.4782608695652173,92
Nanhu_Technology Park,2020Q4,20,2.260869565217391,92
Nanhu_Technology Park,2020Q4,21,3.097826086956522,92
Nanhu_Technology Park,2020Q4,22,3.4456521739130435,92
Nanhu_Technology Park,2020Q4,23,2.858695652173913,92
Nanhu_Technology Park,2021Q1,0,0.9555555555555556,90
Nanhu_Technology Park,2021Q1,1,0.6333333333333333,90
Nanhu_Technology Park,2021Q1,2,0.37777777777777777,90
Nanhu_Technology Park,2021Q1,3,0.4888888888888889,90
Nanhu_Technology Park,2021Q1,4,0.36666666666666664,90
Nanhu_Technology Park,2021Q1,5,0.3111111111111111,90
Nanhu_Technology Park,2021Q1,6,0.5666666666666667,90
Nanhu_Technology Park,2021Q1,7,0.6333333333333333,90
Nanhu_Technology Park,2021Q1,8,0.8222222222222222,90
Nanhu_Technology Park,2021Q1,9,1.5555555555555556,90
Nanhu_Technology Park,2021Q1,10,2.2555555555555555,90
Nanhu_Technology Park,2021Q1,11,2.566666666666667,90
Nanhu_Technology Park,2021Q1,12,3.0444444444444443,90
Nanhu_Technology Park,2021Q1,13,2.9444444444444446,90
Nanhu_Technology Park,2021Q1,14,2.988888888888889,90
Nanhu_Technology Park,2021Q1,15,2.7333333333333334,90
Nanhu_Technology Park,2021Q1,16,2.1555555555555554,90
Nanhu_Technology Park,2021Q1,17,2.0444444444444443,90
Nanhu_Technology Park,2021Q1,18,1.9555555555555555,90
Nanhu_Technology Park,2021Q1,19,2.7777777777777777,90
Nanhu_Technology Park,2021Q1,20,1.9444444444444444,90
Nanhu_Technology Park,2021Q1,21,2.5555555555555554,90
Nanhu_Technology Park,2021Q1,22,3.088888888888889,90
Nanhu_Technology Park,2021Q1,23,1.8888888888888888,90
Nanhu_Technology Park,2021Q2,0,1.1978021978021978,91
Nanhu_Technology Park,2021Q2,1,0.5604395604395604,91
Nanhu_Technology Park,2021Q2,2,0.4065934065934066,91
Nanhu_Technology Park,2021Q2,3,0.6593406593406593,91
Nanhu_Technology Park,2021Q2,4,0.5494505494505495,91
Nanhu_Technology Park,2021Q2,5,0.6483516483516484,91
Nanhu_Technology Park,2021Q2,6,0.4945054945054945,91
Nanhu_Technology Park,2021Q2,7,0.6593406593406593,91
Nanhu_Technology Park,2021Q2,8,1.032967032967033,91
